Tempo (min),Abs Meio 1,Abs Meio 2,Abs Meio 3,Abs Meio 4,Abs Meio 5
Meta_Medium,LB,LB acidificado,LB (lim. N),LB (lim. Nutrientes), LB (lim. IÃ³nica)
Meta_Temp,37,37,37,37,37
4.56,0.2292,0.2228,0.2276,0.2338,0.2043
23.78,0.2337,0.2267,0.2184,0.2315,0.1994
43.33,0.2651,0.2478,0.2179,0.2621,0.2308
63.71,0.3301,0.3126,0.2941,0.3279,0.318
83.44,0.4216,0.4075,0.3292,0.4182,0.4203
103.56,0.5556,0.5153,0.4787,0.4881,0.5656
123.36,0.6532,0.6487,0.6096,0.5706,0.6829
143.67,0.7311,0.6842,0.7032,0.618,0.7225
163.34,0.8093,0.8066,0.7323,0.6925,0.8561
183.39,0.8249,0.8558,0.8057,0.7649,0.8848
203.41,0.8701,0.8582,0.7545,0.884,0.9417
